0,90.162,83.729,95.435,83.743,94.365,78.851,80.281,87.23,99.238,82.81,75.549,92.374,97.984,99.136,84.896,70.398,109.88,96.041,89.698,91.811,83.621,90.229,91.116,82.782,92.602,97.479,87.591,79.546,95.713,94.535,99.135,91.255,92.331,91.134,74.781,75.635,101.42,99.391,86.668,87.054,94.524,79.185,73.38,73.598,82.496,98.65,97.565,91.851,96.371,99.996,91.699,89.04,76.58,89.94,90.48,84.116,92.291,83.56,79.348,105.33,88.897,95.526,99.149,91.651,87.198,91.955,88.48,92.009,83.406,87.22,76.178,82.925,86.891,97.91,99.886,95.061,87.07,85.863,86.687,89.486,94.866,98.666,91.676,94.036,93.268
90.162,0,83.886,95.768,84.352,94.993,79.363,80.467,87.913,99.206,83.653,76.601,92.848,98.711,99.516,85.401,71.505,109.99,96.287,90.723,92.195,83.758,90.274,91.467,82.57,93.434,98.111,88.355,80.135,96.059,95.361,98.977,91.398,92.624,91.757,75.49,76.239,101.66,99.703,87.305,87.328,94.931,79.251,73.773,74.493,82.741,99.433,97.723,93.006,96.851,100.28,91.832,89.105,78.013,90.595,91.015,84.324,92.775,84.263,80.113,105.57,89.53,95.722,99.333,91.866,88.611,91.851,88.438,93.027,84.214,88.136,77.289,83.498,87.55,98.313,100.12,95.88,88.157,85.67,87.281,89.79,95.706,99.154,92.036,94.447,93.296
83.729,83.886,0,94.968,83.247,94.856,78.461,79.61,86.928,98.42,82.561,75.266,91.719,97.894,98.866,84.453,70.072,109.87,95.544,89.72,91.375,83.748,89.739,90.705,82.478,92.501,97.146,87.563,79.391,95.506,94.528,99.002,90.972,91.982,90.881,74.591,75.072,101.23,99.35,87.031,87.091,94.163,79.642,73.65,72.742,81.494,98.519,97.286,91.701,96.034,100.41,91.163,88.432,76.609,89.673,90.381,83.829,92.049,83.404,79.22,105.07,88.348,95.355,98.707,91.224,87.286,91.333,87.511,91.946,83.058,87.328,75.738,82.683,86.241,97.912,99.841,94.817,87.219,85.136,86.243,89.255,94.562,98.336,91.359,94.271,92.448
95.435,95.768,94.968,0,84.136,95.103,80.13,80.529,87.484,99.759,83.856,76.922,92.687,98.837,99.315,85.548,71.766,110.67,96.192,90.949,91.933,84.133,91.198,91.778,83.255,93.331,98.506,87.986,80.235,96.55,95.288,99.327,92.343,92.834,92.27,75.927,77.091,102.24,99.949,88.143,87.863,95.566,79.304,74.82,74.647,83.307,99.292,98.377,92.752,96.573,100.74,92.462,89.627,78.393,90.652,91.734,84.575,93.009,84.494,80.841,105.81,90.028,95.965,99.431,91.8,88.773,92.613,88.931,93.044,84.234,88.419,76.943,83.16,87.401,98.399,100.48,95.872,88.227,86.276,87.901,90.058,95.47,99.256,92.237,95.408,93.47
83.743,84.352,83.247,84.136,0,93.827,79.062,79.367,86.921,98.489,82.632,75.097,91.626,97.599,98.792,84.408,70.148,109.33,95.052,89.232,91.258,82.746,89.697,90.797,82.405,92.423,97.48,86.938,78.916,95.152,93.995,98.333,90.74,91.863,91.338,73.643,75.444,101.34,98.914,86.324,87.069,94.478,78.657,73.67,72.996,81.485,98.411,96.925,91.82,95.486,99.563,90.758,88.354,76.721,89.384,90.123,83.399,91.756,83.344,78.75,104.87,88.33,94.916,98.129,90.799,87.831,91.37,87.139,91.734,82.571,87.257,76.128,82.259,86.901,97.772,99.494,94.568,86.816,85.285,85.88,88.799,95.131,98.129,90.661,93.527,92.464
94.365,94.993,94.856,95.103,93.827,0,79.937,80.764,87.983,99.214,84.024,76.702,93.018,98.615,99.249,85.145,71.353,110,95.985,90.542,91.964,84.648,90.328,91.884,83.49,93.03,97.998,88.128,80.684,95.86,94.766,99.494,92.324,92.929,91.706,75.327,76.591,102.15,100.17,87.467,87.5,95.384,79.408,74.605,74.63,82.732,99.261,98.182,92.167,96.386,100.56,92.087,89.338,78.015,90.401,91.798,84.77,93.085,84.351,80.426,105.34,90.034,95.954,99.474,92.23,88.615,92.203,88.685,92.85,83.854,87.91,77.013,83.477,87.301,98.39,100.11,95.365,87.654,86.218,87.224,89.315,95.473,99.39,92.38,94.642,93.636
78.851,79.363,78.461,80.13,79.062,79.937,0,79.239,86.11,98.404,82.546,74.958,92.274,97.645,98.32,84.12,69.761,109.48,95.437,89.046,91.396,82.954,89.869,90.415,81.839,92.184,97.165,86.967,78.853,95.114,93.711,98.232,90.607,91.622,90.948,73.415,74.642,100.81,99.005,86.337,87.528,94.084,78.421,72.972,72.97,81.341,98.176,97.008,91.509,95.646,99.338,90.945,88.329,75.756,89.641,90.614,82.615,91.488,83.47,79.082,104.51,88.615,94.969,98.663,91.162,87.233,91.012,87.457,91.62,82.615,86.83,75.812,81.988,86.093,97.737,99.225,94.754,86.355,85.31,86.139,88.843,94.451,98.59,90.934,93.604,92.569
80.281,80.467,79.61,80.529,79.367,80.764,79.239,0,87.187,98.826,82.512,75.239,91.671,97.606,98.067,84.337,70.822,109.44,95.784,89.513,90.862,83.086,89.798,90.848,82.526,92.243,97.618,86.788,79.253,95.54,94.031,98.171,90.937,91.621,91.073,74.16,75.114,101.05,98.967,86.769,86.883,94.391,78.213,73.095,73.534,81.944,98.56,97.156,91.494,95.963,99.746,91.572,88.191,76.778,89.853,90.666,83.552,92.025,83.597,79.017,104.59,88.776,95.041,98.6,90.655,87.458,91.513,87.401,92.393,83.311,87.176,76.288,82.272,86.684,97.897,99.295,95.031,86.791,85.349,86.478,88.979,94.724,98.428,91.126,93.789,92.84
87.23,87.913,86.928,87.484,86.921,87.983,86.11,87.187,0,98.798,82.858,75.898,92.195,97.816,98.682,85.17,70.722,109.59,95.666,89.637,91.323,83.497,89.999,91.011,82.373,92.227,97.289,87.659,79.218,95.689,94.299,98.709,91.64,92.469,91.286,74.47,76.142,101.54,98.982,86.412,87.175,94.849,78.408,73.691,73.622,81.951,98.93,97.024,91.812,95.846,99.946,91.308,89.017,76.894,89.668,91.051,83.966,91.744,83.757,79.621,104.66,88.568,95.468,98.793,91.343,87.385,91.621,87.904,92.263,83.085,87.374,76.741,81.96,86.83,98.201,99.679,95.262,87.124,85.478,86.441,89.03,94.586,98.84,91.571,94.401,93.379
99.238,99.206,98.42,99.759,98.489,99.214,98.404,98.826,98.798,0,83.791,77.526,93.319,98.869,100.15,85.938,72.62,110.57,96.769,91.07,92.714,85.183,91.13,91.851,84.096,93.466,98.629,88.432,80.859,96.527,95.06,100.09,92.095,93.173,92.153,76.162,77.166,102.04,100.07,88.259,88.256,95.905,80.145,75.431,75.103,83.616,99.711,98.77,92.436,97.11,100.42,92.196,89.793,78.932,90.971,91.875,85.388,93.027,84.31,80.757,105.84,90.053,96.547,99.856,92.808,88.923,92.581,88.904,93.022,84.552,88.503,77.532,83.715,87.579,98.39,100.55,95.811,88.716,86.776,87.471,90.786,95.966,99.639,93.047,96.035,94.197
